id;nazwa miasta;nazwa województwa
711;Susz;WARMINSKO-MAZURSKIE
712;Zalewo;WARMINSKO-MAZURSKIE
713;Kętrzyn;WARMINSKO-MAZURSKIE
714;Korsze;WARMINSKO-MAZURSKIE
715;Reszel;WARMINSKO-MAZURSKIE
716;Lidzbark Warmiński;WARMINSKO-MAZURSKIE
717;Orneta;WARMINSKO-MAZURSKIE
718;Mrągowo;WARMINSKO-MAZURSKIE
719;Mikołajki;WARMINSKO-MAZURSKIE
720;Nidzica;WARMINSKO-MAZURSKIE
721;Nowe Miasto Lubawskie;WARMINSKO-MAZURSKIE
722;Olecko;WARMINSKO-MAZURSKIE
723;Barczewo;WARMINSKO-MAZURSKIE
724;Biskupiec;WARMINSKO-MAZURSKIE
725;Dobre Miasto;WARMINSKO-MAZURSKIE
726;Jeziorany;WARMINSKO-MAZURSKIE
727;Olsztynek;WARMINSKO-MAZURSKIE
728;Ostróda;WARMINSKO-MAZURSKIE
729;Miłakowo;WARMINSKO-MAZURSKIE
730;Miłomłyn;WARMINSKO-MAZURSKIE
731;Morąg;WARMINSKO-MAZURSKIE
732;Biała Piska;WARMINSKO-MAZURSKIE
733;Orzysz;WARMINSKO-MAZURSKIE
734;Pisz;WARMINSKO-MAZURSKIE
735;Ruciane-Nida;WARMINSKO-MAZURSKIE
736;Szczytno;WARMINSKO-MAZURSKIE
737;Pasym;WARMINSKO-MAZURSKIE
738;Gołdap;WARMINSKO-MAZURSKIE
739;Węgorzewo;WARMINSKO-MAZURSKIE
740;Elbląg;WARMINSKO-MAZURSKIE
741;Olsztyn;WARMINSKO-MAZURSKIE
742;Chodzież;WIELKOPOLSKIE
743;Margonin;WIELKOPOLSKIE
744;Szamocin;WIELKOPOLSKIE
745;Czarnków;WIELKOPOLSKIE
746;Krzyż Wielkopolski;WIELKOPOLSKIE
747;Trzcianka;WIELKOPOLSKIE
748;Wieleń;WIELKOPOLSKIE
749;Gniezno;WIELKOPOLSKIE
750;Czerniejewo;WIELKOPOLSKIE
751;Kłecko;WIELKOPOLSKIE
752;Trzemeszno;WIELKOPOLSKIE
753;Witkowo;WIELKOPOLSKIE
754;Borek Wielkopolski;WIELKOPOLSKIE
755;Gostyń;WIELKOPOLSKIE
756;Krobia;WIELKOPOLSKIE
757;Pogorzela;WIELKOPOLSKIE
758;Poniec;WIELKOPOLSKIE
759;Grodzisk Wielkopolski;WIELKOPOLSKIE
760;Rakoniewice;WIELKOPOLSKIE
761;Wielichowo;WIELKOPOLSKIE
762;Jaraczewo;WIELKOPOLSKIE
763;Jarocin;WIELKOPOLSKIE
764;Żerków;WIELKOPOLSKIE
765;Stawiszyn;WIELKOPOLSKIE
766;Kępno;WIELKOPOLSKIE
767;Koło;WIELKOPOLSKIE
768;Dąbie;WIELKOPOLSKIE
769;Kłodawa;WIELKOPOLSKIE
770;Przedecz;WIELKOPOLSKIE
771;Golina;WIELKOPOLSKIE
772;Kleczew;WIELKOPOLSKIE
773;Rychwał;WIELKOPOLSKIE
774;Sompolno;WIELKOPOLSKIE
775;Ślesin;WIELKOPOLSKIE
776;Kościan;WIELKOPOLSKIE
777;Czempiń;WIELKOPOLSKIE
778;Krzywiń;WIELKOPOLSKIE
779;Śmigiel;WIELKOPOLSKIE
780;Sulmierzyce;WIELKOPOLSKIE
781;Kobylin;WIELKOPOLSKIE
782;Koźmin Wielkopolski;WIELKOPOLSKIE
783;Krotoszyn;WIELKOPOLSKIE
784;Zduny;WIELKOPOLSKIE
785;Osieczna;WIELKOPOLSKIE
786;Rydzyna;WIELKOPOLSKIE
787;Międzychód;WIELKOPOLSKIE
788;Sieraków;WIELKOPOLSKIE
789;Lwówek;WIELKOPOLSKIE
790;Nowy Tomyśl;WIELKOPOLSKIE
791;Opalenica;WIELKOPOLSKIE
792;Zbąszyń;WIELKOPOLSKIE
793;Oborniki;WIELKOPOLSKIE
794;Rogoźno;WIELKOPOLSKIE
795;Ostrów Wielkopolski;WIELKOPOLSKIE
796;Nowe Skalmierzyce;WIELKOPOLSKIE
797;Odolanów;WIELKOPOLSKIE
798;Raszków;WIELKOPOLSKIE
799;Grabów nad Prosną;WIELKOPOLSKIE
800;Mikstat;WIELKOPOLSKIE
801;Ostrzeszów;WIELKOPOLSKIE
802;Piła;WIELKOPOLSKIE
803;Łobżenica;WIELKOPOLSKIE
804;Ujście;WIELKOPOLSKIE
805;Wyrzysk;WIELKOPOLSKIE
806;Wysoka;WIELKOPOLSKIE
807;Chocz;WIELKOPOLSKIE
808;Dobrzyca;WIELKOPOLSKIE
809;Pleszew;WIELKOPOLSKIE
810;Luboń;WIELKOPOLSKIE
811;Puszczykowo;WIELKOPOLSKIE
812;Buk;WIELKOPOLSKIE
813;Kostrzyn;WIELKOPOLSKIE
814;Kórnik;WIELKOPOLSKIE
815;Mosina;WIELKOPOLSKIE
816;Murowana Goślina;WIELKOPOLSKIE
817;Pobiedziska;WIELKOPOLSKIE
818;Stęszew;WIELKOPOLSKIE
819;Swarzędz;WIELKOPOLSKIE
820;Bojanowo;WIELKOPOLSKIE
821;Jutrosin;WIELKOPOLSKIE
822;Miejska Górka;WIELKOPOLSKIE
823;Rawicz;WIELKOPOLSKIE
824;Słupca;WIELKOPOLSKIE
825;Zagórów;WIELKOPOLSKIE
826;Obrzycko;WIELKOPOLSKIE
827;Ostroróg;WIELKOPOLSKIE
828;Pniewy;WIELKOPOLSKIE
829;Szamotuły;WIELKOPOLSKIE
830;Wronki;WIELKOPOLSKIE
831;Środa Wielkopolska;WIELKOPOLSKIE
832;Dolsk;WIELKOPOLSKIE
833;Książ Wielkopolski;WIELKOPOLSKIE
834;Śrem;WIELKOPOLSKIE
835;Turek;WIELKOPOLSKIE
836;Dobra;WIELKOPOLSKIE
837;Tuliszków;WIELKOPOLSKIE
838;Wągrowiec;WIELKOPOLSKIE
839;Gołańcz;WIELKOPOLSKIE
840;Skoki;WIELKOPOLSKIE
841;Wolsztyn;WIELKOPOLSKIE
842;Miłosław;WIELKOPOLSKIE
843;Nekla;WIELKOPOLSKIE
844;Pyzdry;WIELKOPOLSKIE
845;Września;WIELKOPOLSKIE
846;Złotów;WIELKOPOLSKIE
847;Jastrowie;WIELKOPOLSKIE
848;Krajenka;WIELKOPOLSKIE
849;Okonek;WIELKOPOLSKIE
850;Kalisz;WIELKOPOLSKIE
851;Konin;WIELKOPOLSKIE
852;Leszno;WIELKOPOLSKIE
853;Poznań;WIELKOPOLSKIE
854;Białogard;ZACHODNIOPOMORSKIE
855;Karlino;ZACHODNIOPOMORSKIE
856;Tychowo;ZACHODNIOPOMORSKIE
857;Choszczno;ZACHODNIOPOMORSKIE
858;Drawno;ZACHODNIOPOMORSKIE
859;Pełczyce;ZACHODNIOPOMORSKIE
860;Recz;ZACHODNIOPOMORSKIE
861;Czaplinek;ZACHODNIOPOMORSKIE
862;Drawsko Pomorskie;ZACHODNIOPOMORSKIE
863;Kalisz Pomorski;ZACHODNIOPOMORSKIE
864;Złocieniec;ZACHODNIOPOMORSKIE
865;Goleniów;ZACHODNIOPOMORSKIE
866;Maszewo;ZACHODNIOPOMORSKIE
867;Nowogard;ZACHODNIOPOMORSKIE
868;Stepnica;ZACHODNIOPOMORSKIE
869;Gryfice;ZACHODNIOPOMORSKIE
870;Płoty;ZACHODNIOPOMORSKIE
871;Trzebiatów;ZACHODNIOPOMORSKIE
872;Cedynia;ZACHODNIOPOMORSKIE
873;Chojna;ZACHODNIOPOMORSKIE
874;Gryfino;ZACHODNIOPOMORSKIE
875;Mieszkowice;ZACHODNIOPOMORSKIE
876;Moryń;ZACHODNIOPOMORSKIE
877;Trzcińsko-Zdrój;ZACHODNIOPOMORSKIE
878;Dziwnów;ZACHODNIOPOMORSKIE
879;Golczewo;ZACHODNIOPOMORSKIE
880;Kamień Pomorski;ZACHODNIOPOMORSKIE
881;Międzyzdroje;ZACHODNIOPOMORSKIE
882;Wolin;ZACHODNIOPOMORSKIE
883;Kołobrzeg;ZACHODNIOPOMORSKIE
884;Gościno;ZACHODNIOPOMORSKIE
885;Bobolice;ZACHODNIOPOMORSKIE
886;Polanów;ZACHODNIOPOMORSKIE
887;Sianów;ZACHODNIOPOMORSKIE
888;Barlinek;ZACHODNIOPOMORSKIE
889;Dębno;ZACHODNIOPOMORSKIE
890;Myślibórz;ZACHODNIOPOMORSKIE
891;Nowe Warpno;ZACHODNIOPOMORSKIE
892;Police;ZACHODNIOPOMORSKIE
893;Lipiany;ZACHODNIOPOMORSKIE
894;Pyrzyce;ZACHODNIOPOMORSKIE
895;Darłowo;ZACHODNIOPOMORSKIE
896;Sławno;ZACHODNIOPOMORSKIE
897;Stargard;ZACHODNIOPOMORSKIE
898;Chociwel;ZACHODNIOPOMORSKIE
899;Dobrzany;ZACHODNIOPOMORSKIE
900;Ińsko;ZACHODNIOPOMORSKIE
901;Suchań;ZACHODNIOPOMORSKIE
902;Szczecinek;ZACHODNIOPOMORSKIE
903;Barwice;ZACHODNIOPOMORSKIE
904;Biały Bór;ZACHODNIOPOMORSKIE
905;Borne Sulinowo;ZACHODNIOPOMORSKIE
906;Świdwin;ZACHODNIOPOMORSKIE
907;Połczyn-Zdrój;ZACHODNIOPOMORSKIE
908;Wałcz;ZACHODNIOPOMORSKIE
909;Człopa;ZACHODNIOPOMORSKIE
910;Mirosławiec;ZACHODNIOPOMORSKIE
911;Tuczno;ZACHODNIOPOMORSKIE
912;Dobra;ZACHODNIOPOMORSKIE
913;Łobez;ZACHODNIOPOMORSKIE
914;Resko;ZACHODNIOPOMORSKIE
915;Węgorzyno;ZACHODNIOPOMORSKIE
916;Koszalin;ZACHODNIOPOMORSKIE
917;Szczecin;ZACHODNIOPOMORSKIE
918;Świnoujście;ZACHODNIOPOMORSKIE
